# Rime user dictionary
#@/db_name	terra_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	4257
#@/user_id	e046fdd6-b287-4fb1-baa6-1a5de5d90fd4
de5 sheng1 huo2 	的生活	c=1 d=0.136695 t=4257
de5 shi2 hou4 	的時候	c=1 d=3.98655e-05 t=4257
de5 shi4 qing2 	的事情	c=1 d=5.54516e-05 t=4257
de5 shu1 	的書	c=1 d=0.00653881 t=4257
de5 shun4 xu4 	的順序	c=1 d=0.00410726 t=4257
de5 ti3 yan4 	的體驗	c=1 d=0.0043831 t=4257
de5 wei4 zhi4 	的位置	c=1 d=0.00135358 t=4257
de5 wen4 ti2 	的問題	c=1 d=0.00900478 t=4257
de5 xiang2 xi4 	的詳細	c=1 d=1.39168e-06 t=4257
de5 yang4 zi5 	的樣子	c=1 d=3.71703e-05 t=4257
de5 ye4 zhu3 	的業主	c=1 d=9.00938e-09 t=4257
de5 yuan2 yin1 	的原因	c=1 d=2.61935e-05 t=4257
deng1 	燈	c=1 d=0.0220377 t=4257
deng1 lu4 	登錄	c=1 d=9.07924e-08 t=4257
deng1 lu4 ming2 	登錄名	c=1 d=8.29523e-08 t=4257
deng3 	等	c=0 d=1.25275e-05 t=4257
deng3 ji2 	等級	c=2 d=0.455225 t=4257
deng3 yi1 xia4 	等一下	c=1 d=0.304221 t=4257
di1 bang1 	低邦	c=1 d=0.0119145 t=4257
di1 shui3 ping2 	低水平	c=1 d=7.96861e-06 t=4257
di3 	底	c=1 d=0.29523 t=4257
di3 gu3 	骶骨	c=2 d=1.78067e-05 t=4257
di4 	第	c=4 d=1.87607 t=4257
di4 dian3 	地點	c=1 d=0.154896 t=4257
di4 er4 ci4 	第二次	c=1 d=0.358796 t=4257
di4 er4 ge4 	第二個	c=2 d=0.00216505 t=4257
di4 yi1 	第一	c=2 d=0.247833 t=4257
di4 yi1 ci4 	第一次	c=4 d=0.000686502 t=4257
di4 yi1 dai4 	第一代	c=1 d=0.0510474 t=4257
di4 yi1 ge5 	第一個	c=2 d=0.00887071 t=4257
di4 yi1 jia1 	第一家	c=2 d=0.283654 t=4257
di4 yi1 tian1 	第一天	c=1 d=0.000187825 t=4257
di4 yi1 zhang1 	第一章	c=1 d=0.0256042 t=4257
di4 zhi3 	地址	c=5 d=0.163735 t=4257
dian3 ji1 	點擊	c=1 d=0.000179285 t=4257
dian3 shang4 	點上	c=0 d=1.30747e-08 t=4257
dian3 shang4 xi4 lie4 	點上系列	c=1 d=1.31403e-07 t=4257
dian3 xin1 	點心	c=1 d=0.384812 t=4257
dian4 	墊	c=1 d=1.37682e-06 t=4257
dian4 	店	c=2 d=0.669289 t=4257
dian4 hua4 	電話	c=7 d=0.0292744 t=4257
dian4 hua4 ma5 	電話嗎	c=1 d=0.000120966 t=4257
dian4 nao3 	電腦	c=3 d=3.24861e-05 t=4257
dian4 shang4 	墊上	c=11 d=0.135327 t=4257
dian4 shang4 yi1 	墊上一	c=1 d=0.162026 t=4257
dian4 shi4 	電視	c=0 d=0.0160629 t=4257
dian4 shi4 de5 	電視的	c=1 d=0.0871609 t=4257
dian4 zi3 	電子	c=1 d=1.81396e-06 t=4257
dian4 zi5 	墊子	c=2 d=0.275276 t=4257
diao4 cha2 	調查	c=0 d=0.000980366 t=4257
diao4 xia4 	掉下	c=1 d=2.3348e-05 t=4257
ding3 ji2 	頂級	c=1 d=1.82777e-07 t=4257
ding3 jian1 	頂尖	c=1 d=0.000555857 t=4257
ding4 	定	c=0 d=0.0860708 t=4257
ding4 	訂	c=1 d=0.254107 t=4257
ding4 dan1 	訂單	c=7 d=0.51505 t=4257
ding4 de5 shu1 	定的書	c=1 d=1.98512e-08 t=4257
ding4 ju1 	定居	c=1 d=0.0939493 t=4257
ding4 le5 	定了	c=3 d=0.856809 t=4257
ding4 yi4 	定義	c=1 d=0.000515692 t=4257
dong1 xi1 	東西	c=1 d=6.31499e-05 t=4257
dong4 	動	c=2 d=0.00236944 t=4257
dong4 neng2 	動能	c=0 d=2.35298e-09 t=4257
dong4 neng2 guan3 	動能館	c=1 d=2.36477e-08 t=4257
dong4 tai4 	動態	c=1 d=0.0120633 t=4257
dong4 tai4 wen3 ding4 	動態穩定	c=1 d=0.121238 t=4257
dong4 zuo4 	動作	c=47 d=2.224 t=4257
dong4 zuo4 bu4 shun4 chang4 	動作不順暢	c=1 d=2.30004e-05 t=4257
dong4 zuo4 de5 	動作的	c=1 d=1.3041e-06 t=4257
dong4 zuo4 jin1 ji4 	動作禁忌	c=2 d=4.3161e-07 t=4257
dong4 zuo4 shi2 	動作時	c=1 d=1.68696e-05 t=4257
dong4 zuo4 tai4 nan2 	動作太難	c=1 d=8.21129e-06 t=4257
dong4 zuo4 ti3 yan4 	動作體驗	c=1 d=0.000833397 t=4257
dong4 zuo4 ying3 xiang3 hu1 xi1 	動作影響呼吸	c=1 d=0.331211 t=4257
dong4 zuo4 zhong3 lei4 	動作種類	c=1 d=0.0323869 t=4257
dong4 zuo4 zu3 he2 	動作組合	c=1 d=1.51881e-05 t=4257
dou1 	都	c=1 d=0.848343 t=4257
dou1 ding4 le5 	都定了	c=1 d=5.57296e-05 t=4257
dou1 mei2 	都沒	c=0 d=6.12835e-06 t=4257
dou1 mei2 yong4 	都沒用	c=1 d=6.15907e-05 t=4257
dou1 shi4 	都是	c=5 d=0.000113789 t=4257
dou1 shi4 gong1 zuo4 xi4 jie2 	都是工作細節	c=1 d=5.62896e-05 t=4257
dou1 shi4 he2 	都適合	c=1 d=0.00449405 t=4257
dou1 you3 	都有	c=0 d=7.43115e-09 t=4257
dou4 	豆	c=1 d=0.798516 t=4257
du2 te4 	獨特	c=0 d=2.40051e-09 t=4257
du2 te4 fang1 fa3 	獨特方法	c=1 d=2.41254e-08 t=4257
du4 	度	c=3 d=0.126186 t=4257
duan4 jue2 	斷絕	c=1 d=7.35721e-08 t=4257
duan4 lian4 	鍛鍊	c=1 d=0.00414854 t=4257
dui4 	對	c=6 d=0.378803 t=4257
dui4 	隊	c=1 d=0.141564 t=4257
dui4 ba1 	對吧	c=5 d=1.23882 t=4257
dui4 de5 	對的	c=3 d=0.233379 t=4257
